,Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
39,Chile,CHL,"Air transport, passengers carried",IS.AIR.PSGR,574700.0,690600.0,730000.0,636200.0,505200.0,509700.0,489900.0,589400.0,552700.0,558900.0,668800.0,885700.0,822400.0,651900.0,730800.0,825200.0,875200.0,992400.0,1144100.0,1263800.0,1363600.0,1405900.0,1905800.0,2360000.0,2961700.0,3197200.0,3621900.0,4610000.0,5149800.0,5187700.0,5174876.0,5315623.0,4986727.0,5246787.0,5463753.0,5939020.0,6016649.0,7190963.0,8021939.0,8097314.0,9269026.0,10949863.0,12892856.0,13806283.0,14347893.0,15006762.0,16362437.0,17664974.0,19517185.0,21197759.0,8019753.0,10302876.0,23742201.0,21323388.0
40,China,CHN,"Air transport, passengers carried",IS.AIR.PSGR,,,,,710000.0,1000000.0,1050000.0,1110000.0,1540000.0,2519000.0,2568000.0,3236000.0,3942000.0,3836000.0,5000000.0,7300000.0,10000000.0,12500000.0,17000000.0,11080000.0,16596100.0,19520000.0,27345000.0,31312500.0,37601000.0,47564500.0,51770100.0,52277000.0,53234000.0,55853100.0,61891807.0,72660653.0,83671798.0,86040642.0,119789024.0,136721623.0,158013351.0,183613132.0,191001220.0,229062099.0,266293020.0,292160158.0,318475924.0,352795296.0,390878784.0,436183969.0,487960477.0,551234509.0,611439830.0,659629070.0,417255845.0,440301216.0,250754113.0,619215886.0
41,Cote d'Ivoire,CIV,"Air transport, passengers carried",IS.AIR.PSGR,108700.0,51000.0,47900.0,51600.0,56500.0,95000.0,113700.0,120400.0,132200.0,137300.0,151100.0,379100.0,382300.0,388500.0,397700.0,182700.0,184900.0,183400.0,190700.0,218200.0,200200.0,177700.0,195100.0,186200.0,156900.0,174700.0,178700.0,157600.0,162400.0,259600.0,107979.0,46364.0,,,,,,,,,516085.0,89791.8677663574,39485.4722019258,234996.0,237120.0,642893.0,667062.0,808471.0,825257.0,748540.0,322841.0,569309.0,617913.0,716233.0
42,Cameroon,CMR,"Air transport, passengers carried",IS.AIR.PSGR,65800.0,108500.0,130000.0,211300.0,228200.0,239000.0,296900.0,346700.0,392700.0,402500.0,480000.0,485500.0,634000.0,631000.0,676500.0,718000.0,536100.0,561000.0,582000.0,403400.0,284200.0,356600.0,363100.0,274800.0,295000.0,345000.0,361800.0,279000.0,277900.0,292600.0,273000.0,324114.0,243122.0,315100.0,355610.0,384059.0,424794.0,453051.0,470598.0,466050.0,0.0,171007.2,248027.2,287208.0,275760.0,267208.0,343592.0,236000.0,265136.0,83882.0,40884.0,177992.0,252403.0,331025.0
44,"Congo, Rep.",COG,"Air transport, passengers carried",IS.AIR.PSGR,55800.0,58600.0,54900.0,58600.0,63500.0,69000.0,77400.0,85400.0,102200.0,113300.0,117100.0,154100.0,158300.0,216900.0,227700.0,248500.0,248400.0,220100.0,219700.0,233800.0,238900.0,228900.0,228900.0,230800.0,231800.0,266900.0,252900.0,244500.0,240900.0,132200.0,127541.0,95188.0,46967.0,52268.0,,,,,,,341640.429165812,438178.470407323,703966.421078759,652452.0,553944.0,657927.0,577780.0,333899.0,508978.939934003,541787.136860717,79620.0,157784.0,55954.93,147084.0
45,Colombia,COL,"Air transport, passengers carried",IS.AIR.PSGR,3010200.0,2959700.0,2963600.0,3147300.0,3118000.0,3376100.0,3730000.0,4117300.0,4747100.0,5052400.0,4808200.0,4570100.0,6701500.0,6583900.0,5737400.0,5737300.0,5731300.0,5598500.0,5460000.0,5565100.0,5266700.0,5539900.0,6232100.0,6930200.0,7686500.0,7863300.0,8342100.0,9188900.0,9289700.0,8619200.0,8568734.0,9604390.0,9424850.0,9142585.0,8829094.0,9984424.0,10616356.0,11630594.0,12338706.0,12115330.0,16932435.0,18768534.7701547,22012458.8443775,26929238.0,28675159.0,30909723.0,32262658.0,32504898.0,33704037.0,37031843.0,12273939.724,26167360.0,39535306.0,42399044.0
47,Cabo Verde,CPV,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,53000.0,55000.0,60000.0,65000.0,75000.0,103100.0,104000.0,122200.0,127000.0,128200.0,150000.0,174000.0,176200.0,176700.0,176900.0,96000.0,100000.0,100000.0,118300.0,124200.0,129200.0,237000.0,236100.0,252300.0,263547.0,242799.0,236577.0,252751.0,560000.0,690000.0,753511.0,793153.0,807957.0,776469.0,570553.0,620394.751123946,597982.600368215,600000.0,590304.0,548908.0,565810.0,336718.0,561944.0,675482.0,226645.666,76354.068,185363.15,71784.4
48,Costa Rica,CRI,"Air transport, passengers carried",IS.AIR.PSGR,255900.0,280400.0,307300.0,314400.0,374300.0,371800.0,390500.0,326800.0,321300.0,366000.0,431200.0,427600.0,458600.0,379600.0,322500.0,310000.0,334700.0,347600.0,400600.0,440800.0,467000.0,507600.0,622800.0,690300.0,773200.0,870400.0,917900.0,991500.0,1169500.0,1055300.0,877833.0,737895.0,675146.0,749885.0,901402.0,953217.0,943143.0,1017054.0,1023665.0,932581.0,1697893.8890269,1829514.94708223,1770111.37834698,1498996.0,1427414.0,1525922.0,1572605.0,1822880.0,1950049.0,2033146.0,455830.6,669298.0,1551970.4,1971057.0
50,Cuba,CUB,"Air transport, passengers carried",IS.AIR.PSGR,873500.0,979200.0,988300.0,805500.0,689200.0,711100.0,716600.0,634800.0,725500.0,819400.0,675600.0,650700.0,135000.0,839400.0,839100.0,894400.0,913200.0,889000.0,963900.0,989800.0,1137500.0,830600.0,733000.0,624100.0,730900.0,823700.0,928700.0,1117000.0,1138400.0,1259000.0,1007193.0,882309.0,588700.0,610957.0,743256.0,812781.0,811559.0,857213.0,861352.0,780484.0,1578011.78867135,1478595.95916068,1313502.68398397,1395072.0,1135200.0,1294458.0,1333078.0,942785.0,563540.0,457130.0,99838.0,22359.0,139585.38,136998.0
53,Cyprus,CYP,"Air transport, passengers carried",IS.AIR.PSGR,106500.0,150200.0,201000.0,233100.0,125700.0,135800.0,225300.0,266300.0,315300.0,387500.0,440800.0,455000.0,454300.0,485300.0,563000.0,613400.0,620500.0,683700.0,696900.0,747700.0,813700.0,819700.0,946800.0,1011000.0,1233900.0,1218900.0,1214100.0,1278100.0,1346400.0,1336700.0,1396076.0,1503427.0,1704780.0,1882981.0,2013254.0,1920516.0,1944138.0,2071648.0,2111205.0,1943949.0,1583627.0,1263117.0,1285976.0,1211208.0,688368.0,23405.0,224653.0,711554.0,401408.0,395436.0,104559.0,103016.0,440203.0,724062.0
