LEVEL,AREA,YEAR,MONTH,MARKET_SEGMENT,FLIGHT_TYPE,FLIGHT_PHASE,NB_FLIGHTS,NOX_KG,SOX_KG,CO2_KG,DATE
NETWORK,ECAC,2019,1,regional,O,descent,296,0.25,0.06,300.0,2019-01-01
NETWORK,ECAC,2019,1,regional,D,descent,2315,81.72999999999999,9.840000000000002,37200.0,2019-01-01
NETWORK,ECAC,2019,1,regional,I,descent,116862,53967.22000000009,8350.860000000053,31329700.00000001,2019-01-01
NETWORK,ECAC,2019,1,regional,A,climb,2297,140.22,10.75,39800.000000000015,2019-01-01
NETWORK,ECAC,2019,1,regional,O,climb,296,0.39,0.09,300.0,2019-01-01
NETWORK,ECAC,2019,1,regional,D,climb,2315,4283.359999999998,298.11999999999995,1118000.0,2019-01-01
NETWORK,ECAC,2019,1,regional,I,climb,116862,139746.74999999997,12146.390000000009,45568700.00000005,2019-01-01
NETWORK,ECAC,2019,1,regional,A,taxi-in,2297,224.4699999999999,61.08000000000002,229299.99999999988,2019-01-01
NETWORK,ECAC,2019,1,regional,D,taxi-in,2315,5.48,2.19,8000.0,2019-01-01
NETWORK,ECAC,2019,1,regional,I,taxi-in,116862,7580.710000000031,2386.929999999988,8965600.000000075,2019-01-01
NETWORK,ECAC,2019,1,regional,I,taxi-out,116862,21822.870000000046,7450.560000000031,27863300.00000005,2019-01-01
NETWORK,ECAC,2019,1,regional,D,taxi-out,2315,636.42,182.51000000000016,682899.9999999998,2019-01-01
NETWORK,ECAC,2019,1,regional,A,taxi-out,2297,15.13,4.71,16799.999999999996,2019-01-01
NETWORK,ECAC,2019,1,regional,O,taxi-out,296,0.06,0.06,200.0,2019-01-01
NETWORK,ECAC,2019,2,business,A,cruise,3133,63637.699999999895,5665.280000000091,21292499.999999944,2019-02-01
NETWORK,ECAC,2019,2,business,O,cruise,362,7197.309999999992,611.4899999999997,2297100.0000000023,2019-02-01
NETWORK,ECAC,2019,2,business,I,cruise,36828,202891.33999999423,20802.420000001137,78339699.99999635,2019-02-01
NETWORK,ECAC,2019,2,business,D,cruise,3073,83753.26999999976,6472.760000000037,24329699.99999998,2019-02-01
NETWORK,ECAC,2019,2,business,I,descent,36828,11256.880000000145,2220.41999999978,8410800.000000443,2019-02-01
NETWORK,ECAC,2019,2,business,A,descent,3133,2386.399999999997,272.30000000000126,1032100.0000000049,2019-02-01
NETWORK,ECAC,2019,2,business,O,descent,362,21.57,2.8599999999999994,10799.999999999995,2019-02-01
NETWORK,ECAC,2019,2,business,D,descent,3073,103.31999999999998,22.409999999999982,84600.00000000001,2019-02-01
NETWORK,ECAC,2019,2,business,D,climb,3073,6888.700000000004,381.21000000000055,1439300.0000000019,2019-02-01
NETWORK,ECAC,2019,2,business,I,climb,36828,34369.42999999989,3127.020000000028,11821700.00000061,2019-02-01
NETWORK,ECAC,2019,2,business,A,climb,3133,184.8700000000001,13.109999999999989,50700.000000000015,2019-02-01
NETWORK,ECAC,2019,2,business,O,climb,362,35.790000000000006,2.39,9300.0,2019-02-01
NETWORK,ECAC,2019,2,business,I,taxi-in,36828,871.0799999999682,287.78999999999775,1097700.0000000352,2019-02-01
NETWORK,ECAC,2019,2,business,A,taxi-in,3133,266.7099999999998,59.8900000000001,231899.99999999756,2019-02-01
NETWORK,ECAC,2019,2,business,A,taxi-out,3133,12.290000000000004,4.529999999999995,16399.999999999985,2019-02-01
NETWORK,ECAC,2019,2,business,O,taxi-out,362,1.9,0.5800000000000001,2100.0,2019-02-01
NETWORK,ECAC,2019,2,business,D,taxi-out,3073,858.5900000000031,197.86000000000132,746300.0000000059,2019-02-01
NETWORK,ECAC,2019,2,business,I,taxi-out,36828,3799.630000000175,1509.4299999997054,5686900.000000024,2019-02-01
NETWORK,ECAC,2019,2,cargo,I,cruise,17923,1177644.9400000037,63479.86999999983,238095900.00000018,2019-02-01
NETWORK,ECAC,2019,2,cargo,D,cruise,3858,1610984.2399999937,65951.24999999996,247349400.00000048,2019-02-01
NETWORK,ECAC,2019,2,cargo,A,cruise,3943,1039279.9600000002,53796.82999999993,201765999.99999958,2019-02-01
NETWORK,ECAC,2019,2,cargo,O,cruise,390,160709.31999999957,7985.219999999999,29950099.999999978,2019-02-01
NETWORK,ECAC,2019,2,cargo,I,descent,17923,50390.150000000016,4233.650000000011,15885800.000000024,2019-02-01
NETWORK,ECAC,2019,2,cargo,D,descent,3858,33.220000000000006,3.58,13700.0,2019-02-01
NETWORK,ECAC,2019,2,cargo,A,descent,3943,29833.090000000007,2049.7199999999984,7691399.999999995,2019-02-01
NETWORK,ECAC,2019,2,cargo,O,descent,390,47.37,7.34,27400.0,2019-02-01
NETWORK,ECAC,2019,2,cargo,O,climb,390,775.9300000000001,22.51,84600.0,2019-02-01
NETWORK,ECAC,2019,2,cargo,A,climb,3943,177.16999999999996,7.029999999999999,26700.0,2019-02-01
NETWORK,ECAC,2019,2,cargo,I,climb,17923,210667.86999999997,7017.2800000000025,26320799.99999999,2019-02-01
NETWORK,ECAC,2019,2,cargo,D,climb,3858,212176.26000000027,4638.159999999999,17393200.000000004,2019-02-01
NETWORK,ECAC,2019,2,cargo,A,taxi-in,3943,5558.880000000003,947.1099999999996,3554400.0000000023,2019-02-01
NETWORK,ECAC,2019,2,cargo,I,taxi-in,17923,6530.910000000007,1254.6899999999982,4709899.999999992,2019-02-01
NETWORK,ECAC,2019,2,cargo,I,taxi-out,17923,17414.700000000008,3446.849999999982,12909100.000000048,2019-02-01
NETWORK,ECAC,2019,2,cargo,D,taxi-out,3858,11069.960000000014,1886.2600000000027,7080999.999999999,2019-02-01
NETWORK,ECAC,2019,2,cargo,A,taxi-out,3943,7.79,2.0700000000000007,7999.999999999999,2019-02-01
NETWORK,ECAC,2019,2,cargo,O,taxi-out,390,22.15,6.890000000000001,26099.999999999993,2019-02-01
NETWORK,ECAC,2019,2,lowcost,O,cruise,514,7374.100000000003,445.6899999999999,1671900.0000000007,2019-02-01
NETWORK,ECAC,2019,2,lowcost,A,cruise,9538,737970.5699999984,49991.560000000005,187517499.99999923,2019-02-01
NETWORK,ECAC,2019,2,lowcost,D,cruise,9544,1057878.8600000038,59550.88999999991,223359200.0000005,2019-02-01
NETWORK,ECAC,2019,2,lowcost,I,cruise,190603,9984463.799999963,571929.6700000225,2145107100.0000458,2019-02-01
NETWORK,ECAC,2019,2,lowcost,I,descent,190603,312942.0300000002,27344.919999999867,102616400.00000095,2019-02-01
NETWORK,ECAC,2019,2,lowcost,D,descent,9544,618.4399999999999,52.72,197800.0,2019-02-01
NETWORK,ECAC,2019,2,lowcost,O,descent,514,60.92,5.16,19200.0,2019-02-01
NETWORK,ECAC,2019,2,lowcost,A,descent,9538,22071.630000000037,1842.6100000000035,6917300.00000001,2019-02-01
NETWORK,ECAC,2019,2,lowcost,I,climb,190603,1142472.990000003,43183.769999999975,161997000.0000005,2019-02-01
NETWORK,ECAC,2019,2,lowcost,D,climb,9544,90120.72000000016,3194.529999999999,11987400.0,2019-02-01
NETWORK,ECAC,2019,2,lowcost,A,climb,9538,724.09,23.719999999999985,89799.99999999999,2019-02-01
NETWORK,ECAC,2019,2,lowcost,O,climb,514,356.51,12.49,47000.0,2019-02-01
NETWORK,ECAC,2019,2,lowcost,O,taxi-in,514,0.14,0.03,100.0,2019-02-01
NETWORK,ECAC,2019,2,lowcost,A,taxi-in,9538,3855.799999999993,734.7499999999983,2764399.9999999967,2019-02-01
NETWORK,ECAC,2019,2,lowcost,I,taxi-in,190603,46057.47999999984,9098.350000000231,34174299.99999952,2019-02-01
NETWORK,ECAC,2019,2,lowcost,D,taxi-in,9544,57.47000000000003,11.26,42700.0,2019-02-01
NETWORK,ECAC,2019,2,lowcost,O,taxi-out,514,19.39,3.79,14200.0,2019-02-01
NETWORK,ECAC,2019,2,lowcost,A,taxi-out,9538,71.12999999999997,14.730000000000008,54000.00000000003,2019-02-01
NETWORK,ECAC,2019,2,lowcost,D,taxi-out,9544,8463.679999999986,1603.7499999999968,6011399.999999989,2019-02-01
NETWORK,ECAC,2019,2,lowcost,I,taxi-out,190603,107382.44999999928,21291.56999999984,79779399.99999976,2019-02-01
NETWORK,ECAC,2019,2,mainline,I,cruise,150814,8348324.279999995,442992.66000000574,1661397900.0000098,2019-02-01
NETWORK,ECAC,2019,2,mainline,O,cruise,8524,2148997.0200000084,101396.17999999996,380295399.99999964,2019-02-01
